,Translated_Category,Translated_Resume;;;
;;;
Developpement graphique;;;
Client : Chevron Oronite.;;;
Singapour.;;;
;;;
Chef d'equipe • Prepare l'estimation pour le travail de DEVELOPPEMENT GRAPHIQUE à l'aide d'EPKS HMIWEB Display Builder.;;;
• Termine l'activite de developpement dans les delais prevus avec une equipe tres competente de 3 ingenieurs.;;;
â¢ Effectue le contrôle de qualite de 2e niveau pour les 66 graphiques.;;;
â¢ Livre les graphiques developpes selon le calendrier de livraison.;;;
• Tres peu de defauts/commentaires constates par les clients. (qui ont ete acceptes et mis en œuvre);;;
;;;
Modernisation du TGI;;;
Client : KH Engineering B.V.;;;
Utilisateur final : Shell Nederland Raffinaderji B.V.;;;
Amsterdam;;;
;;;
Chef d'equipe Ingenierie d'application pour la migration de Highway Gateway (HG) vers EPKS basee sur la base de donnees CMPI Developpement d'applications pour la boucle d'equilibrage de bobine de four Developpement de logique de compensation de debit Test HMI et conversion des anciens scripts HMI du systeme en ACE Modules de contrôle · Activites de contrôle de qualite effectuees en extrayant les parametres logiques;;;
â¢ Formations realisees : -;;;
entreprise - FOX CONTROLS;;;
description - â¢ Planifier strategiquement et analyser les exigences de base tout en mettant en place l'infrastructure technique du projet et en examinant toutes les propositions de projet.;;;
• Responsable du developpement d'applications basees sur PLC et SCADA.;;;
· Effectuer l'ingenierie et la mise en service des usines de traitement à l'aide de PLC, DRIVES et SCADA.;;;
• Realiser une documentation approfondie des details d'ingenierie lies au projet.;;;
â¢ Organiser et gerer les ressources tout en creant des estimations pour le projet, la structure de repartition du travail, le plan de projet, le plan et les calendriers d'urgence, la maintenance preventive liee à l'instrumentation, au PLC, en identifiant les risques dans les limites definies, les contraintes de qualite, de temps et de coût. avec les clients sur leurs projets pour fournir des conseils et des retours techniques, creant des exigences de haut niveau.;;;
• Planifier le suivi en coordination avec le site pour garantir la livraison en temps opportun du projet comme prevu.;;;
â¢ Maîtrise de divers processus de documentation.;;;
• Expert dans la garantie de l'utilisation efficace des ressources ; humain, materiel et installation. Plans et calendriers de projet, tests, etc. • Adopter le maintien d'une coordination parfaite avec l'equipe de travail et toutes les parties internes/externes pour geler les parametres techniques/portee des travaux afin d'aplanir toute ambiguite ; effectuer des mesures de travaux et assurer la validation technique des travaux.;
 *Veuillez consulter l'annexe pour les details du projet;;;
entreprise - Fox Controls, Dubai;;;
description - A travaille en tant que membre fondateur de ce demarrage d'entreprise en contactant les clients locaux et en fournissant des services selon leurs besoins.;;;
;;;
RESPONSABILITE SUPPLEMENTAIRE : â¢ A travaille en tant que representant de la direction pour maintenir le SYSTÈME QUALITE ISO 9001:2008.;;;
â¢ Realiser les AUDITS INTERNES pour tous les departements de l'entreprise pour l'annee 2011.;;;
entreprise - ENERCON (INDIA) LIMITED;;;
description - • Realisation de 7 projets d'une capacite allant de 1,2 MW à 8,4 MW en tant que responsable de la mise en service.;;;
â¢ Vous avez une experience pratique du systeme Onduleur-Convertisseur, de divers dispositifs d'alimentation tels que les IGBT, les thyristors, etc.;;;
"â¢ Gestion du systeme SAP""";;;
"515,directeur des operations,""Details sur l'education";;;
 Universite des missions BCA Vinayaka;;;
directeur des operations;;;
;;;
directeur des operations;;;
Details des competences;;;
Gestion des operations - Experience - Moins d'un an moisDetails de l'entreprise;;;
entreprise - BNY Mellon International Operations (Inde) Pvt. Ltee;;;
description - Organisation : BNY Mellon International Operations (India) Pvt. Ltd. : septembre 2009-à ce jour;;;
BNY Mellon propose une large gamme de produits et services dans les domaines de la gestion des investissements, des services d'investissement et des services de tresorerie. Nos clients sont des institutions, des entreprises et des particuliers fortunes, ainsi que des consultants et conseillers qui travaillent avec eux.;;;
;;;
Secteur d'activite (LOB) : Services de revenus et de facturation (R&BS);;;
Revenue and Billing Services est un centre d'excellence mondial qui genere des factures et collecte les revenus des frais aupres des clients des services d'investissement. 218 employes repartis sur cinq sites (Brooklyn, Pittsburgh, Syracuse, Pune et Royaume-Uni) . Les diverses activites prises en charge sont les services d'actifs, la fiducie d'entreprise, les services de tresorerie, les services de courtage et la gestion globale des garanties.;;;
Prise en charge des Etats-Unis, de la region EMEA et de l'APAC. Regions.;;;
;;;
Profil d'emploi : Directeur des operations - BNY Mellon International Operations (India) Pvt. Ltd.;;;
;;;
Responsable des operations quotidiennes du service de facturation fournissant des services aux clients institutionnels à l'echelle mondiale. Dirige une equipe de professionnels responsables de la configuration precise et rapide des comptes et de la production de factures sur les plateformes de facturation comme Advantage (Fiserv.) et FiRRe (SunGard). Charge d'ameliorer le service, la qualite et de reduire les revenus globaux non factures.;;;
Fournir des conseils au personnel dans leurs plans de developpement professionnel en facilitant un encadrement et des commentaires appropries.;;;
Les autres responsabilites comprennent, sans toutefois s'y limiter, l'audit, la planification de la reprise des activites, l'evaluation des technologies emergentes, l'examen des contrats d'honoraires et les negociations avec les fournisseurs, les ressources humaines, l'embauche, la gestion des performances, le developpement personnel des employes, les programmes de recompense et de reconnaissance et la definition de l'orientation strategique de l'unite commerciale. .;;;
;;;
Gestion des operations/prestation de services;;;
â¢ Surveiller les KYC des clients et la surveillance de la conformite pour les clients institutionnels.;;;
â¢ Gerer le support et former l'equipe à la redaction et à la revision des procedures operationnelles standard pour garantir la conformite aux reglementations americaines et mondiales en matiere de facturation.;;;
â¢ Aider les clients dans les revisions et les negociations de contrats.;;;
â¢ Surveiller, analyser et rediger des rapports de mesures sur une base hebdomadaire/mensuelle pour suivre les progres des efforts de conformite aupres de la haute direction.;;;
â¢ Coordonner avec les parties prenantes internes et rediger les reponses aux demandes de renseignements remontees et aux demandes des clients.;;;
â¢ Participer aux reunions de concours des auto-evaluations des risques et des contrôles (RCSA) pour le LOB.;;;
â¢ Former la premiere ligne de defense en tant qu'operations et assumer la responsabilite de tout evenement de risque operationnel (ORE);;;
â¢ Effectuer une analyse des causes profondes des problemes et les documenter en consequence pour le rapport d'incident.;;;
• Veiller à ce que les normes de prestation de services soient toujours respectees. (Vert-SLA/TAT);;;
â¢ Surveiller la productivite/efficacite des employes et la gestion des performances.;;;
• Lancer l'exercice de definition d'objectifs pour l'equipe des operations du secteur d'activite.;;;
â¢ Fournir des orientations aux employes conformement aux politiques etablies et aux directives de la direction.;;;
• Rencontrer regulierement les parties prenantes onshore et offshore pour fournir des mises à jour en temps reel.;;;
• Organiser des reunions avec des groupes de pairs fonctionnels pour discuter mensuellement du SIG.;;;
â¢ Participer activement à l’embauche et à la gestion des ressources à tous les niveaux du departement.;;;
• Superviser le Programme d'aide aux employes (PAE) pour les employes sous-performants.;;;
• Gestion de bout en bout des performances du personnel lors des evaluations semestrielles et annuelles.;;;
• A etabli la formation et le developpement comme l'un des objectifs prioritaires du departement et a obtenu le financement de la haute direction.;;;
• Reduire les competences des nouveaux employes en poste de trois à deux mois, en introduisant des modules d'apprentissage en ligne et des presentations Brainshark.;;;
â¢ Encourager l'equipe à comprendre et à communiquer la vision de l'entreprise et la strategie concurrentielle pour stimuler l'activite. (PLANIFIEZ POUR GAGNER ET JOUEZ POUR GAGNER);;;
• Lancer des revues trimestrielles de concordance d'auto-evaluations des risques et des contrôles (RCSA) avec toutes les parties prenantes du processus.;;;
;;;
Gestion de projet/Gestion des transitions -PMO;;;
A travaille en tant que chef de projet au sein du PMO de BNY Mellon pour gerer les transitions des operations de facturation.;;;
;;;
Les responsabilites comprenaient, sans toutefois s'y limiter :;;;
;;;
â¢ Comprendre les attentes, la technologie, la documentation, evaluer les capacites et les competences;;;
â¢ Executer le plan de transition (echeanciers de processus, SLA, matrice d'escalade, etc.);;;
â¢ Assurer une mise en service fluide et des reunions d'examen regulieres apres la transition.;;;
â¢ Analyser les projets pour determiner le retour sur investissement et la viabilite du projet avant de le presenter aux directeurs principaux des operations.;;;
• Strategie conceptualisee et mise en œuvre pour capturer les indicateurs du projet et du programme et canaliser ces informations vers des tableaux de bord faciles à comprendre.;;;
â¢ Gestion directesupervision d'une equipe de 11 employes, dont 8 subordonnes directs.;;;
â¢ Travailler directement avec l'equipe d'architecture des technologies de l'information pour identifier les repartitions strategiques des projets au sein du programme.;;;
• Assurer le respect total de la gestion de projet et du cadre de peage.;;;
â¢ S'assurer que les utilisateurs de l'equipe des operations obtiennent les acces requis aux applications.;;;
• Determination des leçons apprises grâce aux examens post-projet et integration des resultats dans le plan du programme.;;;
;;;
Gestion des talents (equipe et fonction);;;
â¢ Conception organisationnelle restructuree pour differencier les rôles, developper des parcours de carriere et faciliter la rotation du travail;;;
â¢ Analyse des ecarts de competences pour identifier les opportunites de formation et de developpement. Participation assuree et suivi de l'efficacite des programmes de formation;;;
• Elaboration et mise en œuvre de programmes de recompenses et de reconnaissance (R&R) à l'echelle de la fonction.;;;
;;;
Profils d'emploi precedents chez BNY MELLON pendant toute la duree de son mandat : directeur adjoint et chef d'equipe;;;
;;;
Secteur d'activite (LOB) : Global Corporate Trust Billing (Enterprise Billing Unit) ; Services d'investissement alternatifs (AIS), services de courtage (BDS) et facturation des frais de sous-depositaire.;;
;;;
Les services de fiduciaire fournis, par ex. Les services d'administration, les services d'agent payeur et de registraire par BNY Mellon aux clients Corporate Trust sont factures et factures pour generer des revenus.;;;
;;;
A travaille en tant que directeur adjoint et chef d'equipe pendant toute la duree de son mandat, gerant plusieurs equipes pour differentes sous-fonctions au sein du service de facturation.;;;
;;;
Autres responsabilites incluses :;;;
;;;
â¢ Attribuez le travail quotidien à l’equipe à partir des boîtes aux lettres respectives.;;;
â¢ Assurer une repartition egale de toutes les sous-activites au sein de l’equipe en fonction des volumes et garantir leur achevement dans les delais.;;;
• Surveillez les feuilles de calcul de journaux pour toutes les activites et sous-activites enregistrees dans le lecteur partage designe.;;;
â¢ Contrôle de qualite des transactions traitees.;;;
• Travailler sur des projets d'efficacite.;;;
â¢ Surveillez les e-mails Onshore et RM et repondez dans le jour meme apres les avoir traites.;;;
â¢ Participez à l'appel de transfert quotidien pour discuter du travail traite et des mises à jour avec vos homologues à terre.;;;
â¢ Travailler sur des projets Efficacite / Six Sigma / Qualite.;;;
â¢ Mener des rencontres mensuelles individuelles avec les membres de l'equipe et planifier des reunions d'equipe.;;;
â¢ Encadrer les nouvelles et anciennes recrues de l’equipe, discuter regulierement des mises à jour des processus.;;;
â¢ Gerer les evaluations de performance des employes de l’equipe.;;;
• Être activement implique dans le processus d'embauche.;;;
â¢ Participer aux audits internes et externes.;;;
â¢ Assister aux reunions de concours pour l’auto-evaluation des risques et des contrôles (RCSA);;;
;;;
L'EXPERIENCE PROFESSIONNELLE;;;
entreprise - Wipro Technologies;;;
description - CLIENT : Microsoft;;;
;;;
Wipro Ltd. est une societe indienne de services informatiques ; il s'agit d'un leader mondial dans les domaines des technologies de l'information, du conseil et des services lies aux processus d'affaires.;;
;;;
Profil d'emploi : A travaille en tant qu'« Ingenieur de support d'applications de niveau II »;;;
;;;
â¢ Support technique fourni aux utilisateurs de Siebel CRM à travers le monde par Microsoft Corp.;;;
â¢ Communiquer avec les utilisateurs pour obtenir une comprehension de leur environnement et des defis afin de resoudre le probleme et de fournir des solutions.;;;
â¢ Utilisation de la structure existante pour traduire les categories de tickets et les noms de groupes dans la structure du systeme.;;;
â¢ Identifier et transmettre les problemes aux equipes de support de production de niveau III, selon les besoins, pour garantir qu'ils ont ete traites et resolus.;;;
• Nous nous sommes assures que tous les sites des utilisateurs de Siebel CRM etaient operationnels en utilisant des outils de surveillance proactifs, ce qui a augmente le temps de disponibilite des clients jusqu'à 95 %.;;;
• Formation de nouveaux ingenieurs pour fournir un support proactif aux utilisateurs.;;;
â¢ Compilation des donnees et des mesures du departement dans des rapports pour l'examen des processus par la direction. (Rapport SIG);;;
â¢ Equipe de developpement coordonnee avec les utilisateurs professionnels pour le deploiement et les modifications du systeme.;;;
â¢ Participation active aux tests STB&QTP lors des sorties de versions de l'application.;;;
• Effectuer des verifications periodiques de l'etat de l'application.;;;
• Replication de base de donnees testee, implementee et prise en charge, y compris les types de replication SQL Server dans un environnement d'edition.;;;
â¢ Effectuer un changement de rôle des serveurs au niveau du backend pour reduire les temps d'arret des applications.;;;
• Maintien d'une ETA constante de 85 % d'un mois sur l'autre pour les tickets du service d'assistance sur une periode de 24 à 48 heures.;;;
â¢ Veiller à ce que le referentiel des articles de la base de connaissances soit mis à jour regulierement, pour permettre aux nouveaux ingenieurs de les parcourir pour resoudre les problemes.;;;
;;;
L'EXPERIENCE PROFESSIONNELLE;;;
entreprise - Services financiers mondiaux Dell;;;
description - pour Dell Computer Corporation, du 29 août 2005 à fevrier 2007.;;;
;;;
DELL Inc. est l'un des leaders mondiaux en matiere de systemes informatiques. Dell conçoit, construit et personnalise des produits et services pour satisfaire une gamme d'exigences de clients allant des besoins de stockage sur serveur et de services professionnels des plus grandes entreprises mondiales à ceux de clients nationaux dans 85 pays du monde. Dell fait affaire directement avec les clients pour repondre à des besoins uniques.;;;
"Profil d'emploi : A travaille en tant que « senateur des comptes clientsior Associate"""" pour DELL Inc.";;;
· Gestion d'un portefeuille d'environ 500 entreprises clientes americaines.;;;
â¢ Manager une equipe de 8 contrôleurs de credit senior.;;;
â¢ Parcourir le terrain (Coaching et guidage des contrôleurs);;;
• Minimiser les pertes de credit en gerant l'equipe chargee de collecter les comptes en souffrance.;;;
â¢ Gerer les escalades (par e-mail et par telephone);;;
â¢ Identifier les comptes en souffrance à un stade avance et les resoudre avec une correspondance ou des avis verbaux et ecrits appropries.;;;
â¢ Effectuer la revue du grand livre/comptes;;;
• Discuter des evaluations intermediaires et annuelles avec les membres de l'equipe et assurer leur clôture dans les delais impartis.;;;
â¢ Rechercher et resoudre les transactions problematiques identifiees quotidiennement. Tenir des registres concernant les changements dans les comptes à la suite des negociations sur la collecte des comptes impayes des clients, les remboursements, les credits d'impôt, etc.;;;
• Liberer les commandes avec les codes de tâche de credit des files d'attente attribuees.;;;
â¢ Intervenir et communiquer avec les departements de support tels que les ventes, le traitement des commandes, etc. en cas de retard ou d'absence de reponse de leur part.;;;
â ¢ Mentor New Embauches et aide les membres de l'equipe à ameliorer les performances selon les besoins.;;;
â¢ Mettre en place et diriger les conferences telephoniques avec les clients et d'autres services internes pour discuter des problemes lies aux comptes et elaborer des mesures pour les resoudre.;;;
â¢ Franchir les obstacles en equipe et piloter les resultats de l'equipe. Participer aux appels de revision hebdomadaires et mensuels avec la direction pour discuter des problemes lies aux processus et des moyens de les improviser.;;;
• Travailler sur des cas en temps reel constitues d'erreurs de commande potentielles ou de situations dans lesquelles les exigences specifiques des clients ne sont pas satisfaites.;;;
â¢ Prend des decisions sur la maniere de resoudre les problemes de la maniere la plus rapide possible.;;;
â¢ Fait des recommandations sur les ajouts de « regles commerciales » conçues pour capturer les erreurs de commande courantes.;;;
• Maintenir un niveau de motivation eleve parmi les membres de l'equipe en organisant des activites Fun at work. Ils ont egalement ete nommes SPOC RH et Transports pour le COE.;;;
;;;
L'EXPERIENCE PROFESSIONNELLE;;;
GE CAPITAL INTERNATIONAL SERVICES. (GECIS);;;
GE Capital est l'unite de services financiers du conglomerat multinational americain General Electric. Elle propose des prets et des locations commerciaux, ainsi qu'une gamme de services financiers pour l'aviation commerciale, l'energie et le soutien aux unites commerciales industrielles de GE.;;;
entreprise -;;;
description - Effectuer des appels sortants et envoyer des courriels informant les clients institutionnels de leurs paiements en souffrance conformement aux procedures operationnelles standard.;;;
â¢ Developpement de leçons One Point pour les clients cles et partage avec l'equipe;;;
• Maintien d'un taux de precision de plus de 95 % tout au long de l'annee.;;;
• Pour generer un rapport quotidien sur les performances de l'equipe, cela incluait les voies et moyens d'amelioration des revenus COE.;;;
"â¢ Avait gagne en credibilite aupres des membres de l'equipe et etait le premier niveau de remontee pour tout probleme en l'absence du manager. Point de contact unique (SPOC) pour tout probleme RH au sein de l'equipe.""";;;
"516,directeur des operations,""COMPETENCES CLES â¶Gestion multi-operationsâ¶Gestion des personnes â¶Services clients - E-mails â¶SIG â¶Gestion des services fournisseurs et clientsâ¶Coordination interfonctionnelleâ¶Services bancaires et financiersâ¶Suivi des transactions * Operations ATM â¶ Operations de cartes prepayees (pre-emission et post-emission) â¶ Operations POS * PROFIL D'EMPLOI ET COMPETENCES : â¢ Un communicateur efficace avec d'excellentes competences en matiere d'etablissement de relations et de relations interpersonnelles. Solides capacites d’analyse, de resolution de problemes et d’organisation. â¢ Vaste experience dans la gestion des operations avec des qualites de leadership et des competences organisationnelles demontrees au cours du mandat. â¢ Gerer les operations centrees sur le client et assurer la satisfaction du client en respectant les normes de qualite de service. â¢ Analyser tous les problemes operationnels, les plaintes des clients et prendre des mesures preventives et correctives pour les resoudre. â¢ Recevoir et repondre aux demandes des clients cles de maniere efficace et fournir des informations pertinentes et opportunes. • Habile à piloter les operations back-end bancaires, à analyser les risques et à gerer les impayes avec dexterite en appliquant des techniques visant à maximiser les recouvrements et à minimiser les pertes sur creances. â¢ Analyser et identifier les besoins de formation des membres de l'equipe, developper, organiser et mener des programmes de formation et gerer l'equipe du quartile inferieur pour ameliorer leurs performances. â¢ Preparer et maintenir des rapports SIG quotidiens pour evaluer les performances et l'efficacite du processus concernant divers secteurs verticaux. • Mesurer la performance des processus en termes de matrice d'efficience et d'efficacite et garantir le respect des SLA. • Les principales activites de definition des processus pour les services sur le terrain ont ete surveillees et les contrôles necessaires ont ete executes et contrôles. J'ai egalement mesure le SLA des fournisseurs en analysant le TAT des fournisseurs et le SLA client qui nous a ete fourni. · Conformement aux procedures de l'entreprise, gerer et garantir que les problemes de paiement des fournisseurs sont resolus et que les paiements sont traites sur une base trimestrielle. â¢ Planifier et executer de maniere appropriee chaque competence operationnelle conformement aux politiques et procedures du departement. â¢ Gerer les relations avec l'equipe commerciale, l'equipe de developpement de logiciels et d'autres services pour atteindre les objectifs du projet. Differents logiciels ont fonctionne jusqu'à present : - a. CTL prime - Cartes de credit Axis Bank b. Insight - Pour les operations techniques des machines POS pour Amex (Generation MID et TID - ATOS (Venture Infotek) c. Systeme de gestion de tickets - TATA Communications Private Services Ltd (ATM - Operations NOC) d. Portail de succursale (Yalamanchili Software Exports Ltd) - Cartes prepayees (SBI Bank & Zaggle Prepaid Oceans Services Ltd) Zaggle Prepaid Ocean Services Pvt Ltd Octobre 2017 à ce jour Designation : Manager - Operations (industrie des paiements - Cartes prepayees - INR) Details de la formation";;;
  Commerce Mumbai, Universite du Maharashtra Mumbai;;;
directeur des operations;;;
;;;
Responsable de service - Operations (Industrie des paiements - Cartes prepayees - INR et FTC);;;
Details des competences;;;
OPERATIONS- Experience - 73 mois;;;
SATISFACTION- Experience - 48 mois;;;
FORMATION- Experience - 24 mois;;;
CNO- Experience - 23 mois;;;
POINT DE VENTE - Experience - 20 moisDetails de l'entreprise;;;
entreprise - Zaggle Prepaid Ocean Services Pvt Ltd;;;
description - Operations de carte;;;
entreprise - Yalamanchili Software Exports Ltd;;;
description - 24*7 Operations Pvt Ltd) de decembre 2015 à fevrier 2017;;;
;;;
Designation : Gestionnaire de services - Operations (Industrie des paiements - Cartes prepayees - INR et FTC);;;
;;;
Contributions cles : · Un professionnel des affaires axe sur les resultats dans la planification, l'execution et la gestion des processus, l'amelioration de l'efficacite des operations, la constitution d'equipes et le detail des informations sur les processus pour determiner les resultats efficaces des operations.;;;
• S'assurer que la generation de codes PIN (SLA) est maintenue et que les cas de retrofacturation sont souleves dans des delais parfaits.;;;
â¢ Gerer correctement les services clients par courrier electronique et garantir que les e-mails reçoivent une reponse correcte. Nous veillons egalement à ce que la surveillance des transactions soit correctement geree 24h/24 et 7j/7.;;;
â¢ Assister les banquiers (SBI et banques associees) pour leurs plans BCP en les executant dans le systeme à l'aide des plans DR-PR et vice versa ou de toute autre exigence commerciale.;;;
â¢ Expertise dans le maintien du plus haut niveau de qualite dans les operations ; assurer le respect de tous les parametres et procedures de qualite selon les normes strictes.;;
· Diriger, gerer et superviser l'execution des missions d'audit externe et etre responsable de la presentation des conclusions et de l'elaboration de rapports de qualite à la haute direction et aux clients.;;;
â¢ Coacher/mentorer (20) membres de l'equipe pour qu'ils soient performants à un niveau superieur en offrant des opportunites, en fournissant des commentaires continus en temps opportun et en travaillant avec le personnel pour ameliorer leurs competences en communication, en gestion du temps, en prise de decision, en organisation et en analyse.;;;
• Fournir les solutions et les services au client dans ses propres locaux avec le nombre de membres de l'equipe susmentionne.;;;
â¢ Assurer egalement le processus de bout en bout des PR & DR selon les exigences du client (PR-DR & DR-PR) en interagissant avec les parties prenantes internes et externes.;;;
â¢ Determiner les lacunes des processus et concevoir etmener des programmes de formation pour ameliorer l’efficacite operationnelle et retenir les talents en offrant des opportunites optimales de croissance personnelle et professionnelle.;;;
entreprise - Cartes de credit;;;
description - Assurer le plus haut niveau de satisfaction client et de service de qualite ; developper de nouvelles politiques et procedures à ameliorer en fonction des commentaires des clients et resoudre les requetes des clients via la correspondance, les appels entrants et les canaux de courrier electronique avec la force de (12-16) membres de l'equipe.;;
entreprise - AGS Transact Technologies Limitee;;;
description - Contributions cles : Lead - SPOC aupres des banques;;;
entreprise - TATA Communications Payment Solutions Ltd;;;
description - Rendre les guichets automatiques operationnels au sein de TAT en analysant le probleme technique ou non technique et egalement en interagissant avec les parties prenantes internes et externes.;;;
entreprise - Vertex Customer Solutions India Private Ltd;;;
description - Contributions cles : â¢ Etablir des relations de travail positives avec tous les membres de l'equipe et les clients en tenant la direction informee de la collecte de documents KYC et des progres de l'audit simultane, en repondant en temps opportun aux demandes de renseignements de la direction, en comprenant l'entreprise et en se comportant de maniere professionnelle.;;;
entreprise - Reseau d'inclusion financiere et operations limitees;;;
description - Contributions cles : POS-Operations • Le respect en cascade du processus est strictement suivi par les membres de l'equipe et les forme pour reduire les temps d'arret.;;;
â¢ Gestion du stock de terminaux EDC. â¢ Gestion des deploiements de terminaux via plusieurs equipes. â¢ Aurait travaille avec plusieurs marques et modeles de terminaux.;;;
entreprise - Venture Infotek Private Ltd;;;
description - Contributions cles : POS-Operations;;;
entreprise - Axis Bank Ltd - Services clients;;;
description - Août 2006 à Octobre 2009 (Ma-Foi&I- smart);;;
;;;
"Designation : Chef d'equipe/dirigeant - Unite des courriels, des services bancaires par telephone et de la correspondance (Snail Mails)""";;;
"517,directeur des operations,""COMPETENCES INFORMATIQUES Bonne maîtrise des applications MS Office et Internet ainsi que des divers systemes ERP mis en œuvre dans l'entreprise, à savoir SAGE, Flotilla, LM ERP, Tally 9, WMS, Exceed 4000, etc. DOSSIER PERSONNEL Adresse permanente : Bandra West, Mumbai 400 050Details de la formation";;;
 B.Com commerce Mumbai, Maharashtra Bombay University;;;
   Mumbai, Maharashtra College St.Andrews;;;
 DIM Gestion d'Entreprise IGNOU;;;
directeur des operations;;;
;;;
Directeur des operations - Landmark Insurance Brokers Pvt Ltd;;;
Details des competences;;;
GROUPE RESSOURCES EMPLOYES - Experience - 6 mois;;;
PLANIFICATION DES RESSOURCES D'ENTREPRISE - Experience - 6 mois;;;
ERP- Experience - 6 mois;;;
MS OFFICE - Experience - 6 mois;;;
Tally - Experience - 6 moisDetails de l'entreprise;;;
entreprise - Landmark Insurance Brokers Pvt Ltd;;;
description - janvier 2019 à ce jour;;;
À propos de l'entreprise;;;
L'une des plus grandes societes de courtage d'assurance en Inde avec des bureaux dans 24 Etats, PAN India et une partie du LandmarkGroup avec un chiffre d'affaires annuel de 2 200 cr;;;
;;;
Poste : Responsable des operations;;;
Diriger et superviser une equipe de 12 personnes pour garantir que les processus de travail et le TAT corrects sont suivis en ce qui concerne le traitement complet de l'assurance, depuis la soumission du cheque jusqu'à l'emission de la police et le soutien à tous les bureaux de PAN India pour l'assurance automobile et maladie.;;;
 â¢ S'assurer que toutes les saisies de donnees des clients sont correctement effectuees par le service client â¢ Souscription des documents et verification (Sante et Automobile) â¢ Coûts des produits d'assurance â¢ Suivis aupres des compagnies d'assurance â¢ Traitement des reclamations des clients et solutions • Reporting MIS • S'assurer que l'equipe travaille conformement aux SOP des operations • Organiser un briefing hebdomadaire avec l'equipe • Assurer la liaison avec tous les bureaux de PAN Inde pour tout le soutien operationnel • Gerer les transactions quotidiennes en especes â¢ Relevant du Vice-President Operations;;;
entreprise - Trippereri Travels & Tours;;;
description - janvier 2017 à mars 2018;;;
À propos de l'entreprise;;;
Une startup d'agence de voyages organisant des circuits locaux et internationaux.;;;
;;;
Operations : Responsabilite globale des operations et des fonctions administratives/ventes;;;
entreprise - Vish Hotel Supplies Pvt Ltd;;;
description - janvier 2015 novembre 2016;;;
;;;
À propos de l'entreprise;;;
Un distributeur de fournitures hôtelieres aupres de groupes hôteliers internationaux 5 etoiles en Inde pour des equipements hôteliers d'un fournisseur international à plus de 50 hôtels dans toute l'Inde.;;;
;;;
Poste : responsable des operations (logistique de la chaîne d'approvisionnement);;;
En charge complete de la gestion de l'entreprise depuis l'expedition, les importations, l'entreposage jusqu'à la distribution et la supervision de toutes les activites operationnelles liees à l'entreprise.;;;
â¢ Superviser et gerer tous les aspects de l'entreprise et mettre en œuvre des procedures pour une expedition/gestion reussie des stocks à l'entrepôt/livraison du materiel dans toute l'Inde et les exportations. â¢ Superviser toutes les negociations avec les fournisseurs en plus de l'entrepôt douanier et du cha. avec les transitaires pour obtenir les meilleurs tarifs de fret et les delais de livraison les plus rapides. • Superviser le dedouanement des expeditions d'importation et d'exportation et assurer la liaison avec les transitaires. • S'assurer que toutes les conformites gouvernementales et fiscales sont respectees par l'entreprise.;;;
â¢ S'assurer que tous les avantages des remises gouvernementales et des programmes de droits de douane sont reçus et utilises par le client et l'entreprise conformement à la licence EXIM detenue. â¢ Veiller à ce que tous les clients soient satisfaits de l'ensemble des fournitures et des services de l'entreprise. que tous les obstacles rencontres dans la gestion de la chaîne d'approvisionnement soient elimines pour une livraison sans tracas aux clients à travers l'Inde â¢ Superviser les comptes crediteurs et clients â¢ Veiller à ce que tous les stocks soient maintenus dans les entrepôts et les livres comptables conformement aux procedures mises en œuvre â ¢ Rechercher de nouveaux fournisseurs dotes de capacites de fabrication de haute qualite pour la fabrication de nouveaux produits â¢ Visiter les clients pour enqueter sur la satisfaction des clients et combler toute lacune â ¢ Fonction RH comme le recrutement, les entretiens et la finalisation des candidats pour l'entreprise;;;
entreprise - GEA Ecoflex Moyen-Orient FZE;;;
description - À propos de la societe;;;
GEA Ecoflex, qui fait partie du groupe GEA Allemagne, est l'un des plus grands fournisseurs de technologies de procedes et de composants pour les industries alimentaires et energetiques. En tant que groupe technologique international, la societe se concentre sur des processus de production sophistiques.;;;
GEA genere un chiffre d'affaires superieur à 5,7 milliards d'euros par an;;;
;;;
LIVRABLES CLES;;;
Gestion du fret : acquerir, developper et ameliorer les relations pour des modes d'expedition de fret economiques et plus rapides pour les diverses exigences de l'entreprise. Developper des strategies de tarification dans le but de maximiser les profits de l'entreprise en reduisant ses coûts de transport en negociant les prix pour chaque secteur individuel avec les transitaires/transporteurs maritimes et en assurant la livraison en temps opportun des marchandises vers les destinations respectives.;;;
;;;
Gerer et negocier les frais de fret à l'importation avec divers transitaires et compagnies aeriennes pour les expeditions aeriennes en vrac en provenance des Ameriques, de l'Europe, de Dubai, de l'Inde, de la Chine et d'autres pays du CCG.;;;
Identifier le podes problemes et des failles possibles pour tous les envois entrants et sortants, qui peuvent etre en retard par rapport au delai requis et trouver des solutions alternatives pour respecter l'engagement.;;;
;;;
Gestion logistique : Gerer les fonctions logistiques ; negocier avec les transporteurs des solutions de transport rentables.;;
Coordonner avec les agents des douanes pour garantir des dedouanements rapides et des solutions de transport efficaces à des coûts raisonnables.;;;
Interagir avec les compagnies aeriennes et les compagnies maritimes pour le transport et mener des negociations pour finaliser les tarifs de fret afin d'optimiser les coûts de transport et d'assurer un transit sans dommages. Surveiller et analyser les pertes en transit et prendre des mesures pour les contrôler. Coordonner le planning/mobilisation de l'equipe apres-vente sur differents sites GCC/On-shore/Off Shore/Europe.;;;
